Team,Name,Goals,Assists,Expected Goals (xG),Shots on Target,Big Chances Missed,Goal Conversion %
Barcelona,Robert Lewandowski,7,0,5.74,8,2,46.67
Manchester City,Erling Haaland,5,0,6.26,15,7,17.86
Bayer Leverkusen,Florian Wirtz,5,1,3.04,9,1,35.71
Bayern Munich,Harry Kane,5,1,5.03,12,2,22.73
Sporting Cp,Viktor Gyaokeres,5,1,4.27,10,3,25
Barcelona,Raphinha,5,2,2.19,6,0,25
Real Madrid,Vinicius Junior,4,0,3.22,10,3,23.53
Stuttgart,Serhou Guirassy,4,2,2.64,9,0,36.36
Liverpool,Mohamed Salah,4,1,1.71,6,3,6.67
Borussia Dortmund,Jamie Gittens,4,0,1.21,5,0,33.33
Lille,Jonathan David,4,0,3.01,6,2,40
Borussia Dortmund,Karim Adeyemi,3,0,0.41,5,0,42.86
Rb Leipzig,Benjamin Sesko,3,0,2.5,7,2,23.08
Liverpool,Luis Di≠az,3,0,2.21,6,2,33.33
Psg,Kylian Mbappe,3,1,3.51,10,2,4.55
Atletico Madrid,Angel Correa,3,0,1.57,3,0,30
Celtic,Daizen Maeda,3,0,0.65,4,4,28.57
Juventus,Duran Vlahovic,3,1,2.36,6,1,23.08
Liverpool,Cody Gakpo,2,1,1.85,7,1,16.67
Ac Milan,Charles De Ketelaere,2,4,1.02,6,1,25
Az Alkmaar,Vangelis Pavlidis,2,1,1.09,1,0,0
Atletico Madrid,Antoine Griezmann,2,2,1.61,6,0,20
Hibernian,Victor Olatunji,2,1,0.64,2,1,40
Flamengo,Milson,2,0,0.66,2,0,50
Al-Nassr,Anis Hadj Moussa,2,0,0.44,3,0,50
Genoa,Mateo Retegui,2,0,2.53,6,3,14.29
Borussia Dortmund,Donyell Malen,2,1,1.56,5,3,25
Atalanta,Ademola Lookman,2,1,1.42,3,1,25
Bayer Leverkusen,Kerim Konate,2,0,2.69,4,2,16.67
Chelsea,Kai Havertz,2,0,1.81,4,1,22.22
Manchester City,Julian Alvarez,2,0,1.05,4,0,37.5
Werder Bremen,Nicolas-Gerrit K¸hn,2,1,0.56,2,0,66.67
Arsenal,Bukayo Saka,2,1,1.33,6,0,20
Wolverhampton Wanderers,Mika Biereth,1,0,1.27,3,2,14.29
Brighton & Hove Albion,Deniz Undav,1,0,1.39,4,2,8.33
Vissel Kobe,Ayase Ueda,1,1,1.04,2,1,50
Fiorentina,Santiago Gimenez,1,1,0.99,1,0,100
Arsenal,Leandro Trossard,1,1,1.78,2,1,14.29
Shakhtar Donetsk,Danylo Sikan,1,0,0.44,2,1,33.33
Brescia,SilvËre Ganvoula,1,1,1.57,5,2,9.09
Sparta Prague,David Strelec,1,0,2.26,2,2,12.5
Manchester City,Gabriel Jesus,1,1,0.59,1,1,100
Fiorentina,Arthur Cabral,1,0,0.15,1,1,100
AlmerÌa,El Bilal Toure,1,0,0.79,1,0,25
Norwich City,Jhon Duran,1,0,0.57,3,0,22.22
Arsenal,Marko Arnautovic,1,0,1.34,3,2,33.33
Real Betis,Matias Fernandez,1,0,1.07,5,1,16.67
Inter Milan,Lautaro Mart√≠nez,1,0,0.03,1,0,0
Olympique Lyonnais,Cherif Ndiaye,1,0,0.85,1,1,50
Fc Dallas,Ricardo Pepi,1,0,1.01,6,0,12.5
Liverpool,Ferran Torres,1,0,0.66,2,1,0
Inter Milan,Mehdi Taremi,1,2,1.39,2,0,14.29
Celtic,Kyogo Furuhashi,1,0,2.36,4,3,12.5
Atletico Madrid,Marcus Thuram,1,0,0.98,2,2,16.67
Sporting Cp,Pedro Gonsalves,1,0,0.68,2,1,0
Club Brugge,Noa Lang,1,1,0.56,5,1,12.5
Atletico Madrid,√Ålvaro Morata,1,0,0.99,2,1,25
Union Saint-Gilloise,Victor Okoh Boniface,1,1,1.5,4,1,11.11
Dinamo Zagreb,Sandro Kulenovic,1,0,1.37,4,1,60
Barcelona,Kenan Y?ld?z,1,0,0.36,2,0,11.11
Norwich City,Adam Idah,1,1,1.26,2,1,33.33
Arsenal,Gabriel Martinelli,1,1,1.85,4,1,11.11
Monaco,Breel Embolo,1,0,1.86,5,3,11.11
As Roma,Tammy Abraham,1,0,0.3,1,0,50
Stuttgart,Abdallah Sima,1,0,1.56,3,1,50
Bayer Leverkusen,Patrik Schick,1,0,1.35,2,0,16.67
Barcelona,Ousmane Dembele,1,0,1.92,5,4,0
Burnley,Zeki Amdouni,1,0,0.96,3,0,11.11
Napoli,Giuliano Simeone,1,0,0.57,3,1,0
Psv Eindhoven,Johan Bakayoko,1,1,1.24,9,1,5.56
Freiburg,Ermedin Demirovic,1,0,0.78,5,0,11.11
Leicester City,Ansu Fati,0,0,0,0,0,0
Leicester City,Loan Openda,0,0,0.82,2,2,0
Fiorentina,Alan Virginius,0,0,0.11,0,0,0
Fc Barcelona,Martin Terrier,0,0,0.11,2,0,0
Vfl Wolfsburg,Lassina Traore,0,0,0.04,0,0,0
Fc Utrecht,Thijs Dallinga,0,0,0.9,3,2,0
Lens,Eguinaldo,0,0,0.67,2,1,0
Nice,Justin Garc√≠a,0,0,0.59,1,0,0
Real Madrid,Ibrahim Salah,0,0,0.09,0,0,0
Fc Schalke 04,C√©dric Itten,0,0,0.09,0,0,0
Lille,Marcus Edwards,0,0,1.67,0,0,0
Rc Lens,Pau Victor,0,0,0,0,0,0
Barcelona,Lamine Yamal,0,1,0.55,5,0,9.09
Villarreal,Albion Rrahmani,0,0,0.11,0,0,0
Young Boys,Meschack Elia,0,0,1.57,4,2,12.5
Atalanta,Diogo Jota,0,0,0.68,3,0,0
Cagliari,Alexander Sorloth,0,0,1.93,4,2,0
Portimonense,Indrit Tuci,0,0,0,0,0,0
Liverpool,Luis Palma,0,0,0,0,0,0
Atletico Madrid,Portu,0,0,0,0,0,0
Arsenal,Chemsdine Talbi,0,0,0.02,1,1,0
Molde,Jens Odgaard,0,0,0.02,1,0,0
IFK ÷stersund,Gustaf Nilsson,0,0,0.02,0,0,0
C√°diz,Santiago Castro,0,0,0.04,0,0,0
Girona,Cristian Stuani,0,0,0.22,1,1,0
Slovan Bratislava,Krystof Danƒõk,0,0,0.36,1,0,0
Olympique Lyonnais,Gon√ßalo Ramos,0,0,0,0,0,0
Ac Milan,Francesco Camarda,0,0,0.02,0,0,0
Real Madrid,Erencan Yardimci,0,0,0.01,1,0,0
Fenerbah√ße,Ibrahim Osman,0,0,0.05,1,0,0
As Roma,Jarzinho Malanga,0,0,0.19,1,0,0
Vfl Wolfsburg,Bruno Duarte,0,0,0.06,1,0,0
Benfica,Andrea Silva,0,0,0.05,0,0,0
Psv Eindhoven,Idjessei Metsoko,0,0,0.19,1,0,0
Fiorentina,Artem Stepanov,0,0,0.05,2,0,0
Real Sociedad,Petar Ratkov,0,0,0.17,1,0,0
Arsenal,Andreas Schjelderup,0,0,0.19,0,0,0
Lille,Romeo Vermant,0,0,0.05,1,0,0
Fc Barcelona,Marco Asensio,0,0,0.15,0,0,0
