Team,Name,Saves,Clean Sheets,Penalties Saved,Saves from Inside Box,Runs Out,Average Sofascore
Shakhtar Donetsk,Dmytro Riznyk,28,1,1,19,2,7.84
AC Milan,Mike Maignan,26,0,1,17,7,7.76
Sparta Prague,Dominik Takács,25,1,0,18,0,7
OB,Peter Vindahl Jensen,25,1,0,15,3,6.9
Aston Villa,Emiliano Martínez,24,4,0,13,1,8.1
Girona,Paulo Gazzaniga,21,1,0,15,0,7.14
Juventus,Franco Israel,20,2,0,13,2,7.32
Lille,Lucas Chevalier,19,1,0,15,2,7.34
Atletico Madrid,Jan Oblak,18,1,0,13,0,7.22
Nice,Kasper Schmeichel,18,1,0,10,0,7.08
Feyenoord,Timon Wellenreuther,18,0,1,11,3,6.78
Shakhtar Donetsk,Anatoliy Trubin,17,0,0,9,0,7.12
Real Madrid,Thibaut Courtois,16,0,0,11,3,7.67
Bologna,Łukasz Skorupski,16,1,0,13,5,7.46
Bayern Munich,Yann Sommer,15,5,0,12,0,7.5
Brest,Marco Bizot,15,1,0,12,3,7.26
Brighton,Kjell Scherpen,15,0,0,7,1,7.13
Leipzig,Péter Gulácsi,15,0,0,5,0,6.72
Borussia Dortmund,Gregor Kobel,15,0,0,8,0,7.28
Dinamo Zagreb,Ivan Nevistić,14,1,0,6,1,6.83
Juventus,Mattia Perin,13,0,1,6,1,8.4
Liverpool,Caoimhin Kelleher,13,3,1,8,4,7.93
Arsenal,David Raya,13,3,0,7,2,7.32
PSV Eindhoven,Walter Benitez,13,1,0,10,3,7.2
Young Boys,David von Ballmoos,13,0,1,9,0,6.67
Bayer Leverkusen,Lukáš Hrádecký,12,2,0,9,3,7.47
AS Monaco,Alexander Nübel,12,1,0,11,0,6.4
Club Brugge,Simon Mignolet,10,2,0,5,3,6.94
RB Leipzig,Janis Blaswich,10,0,0,3,2,6.43
LASK,Alexander Schlager,9,0,0,6,1,7.15
Inter Milan,Michele Di Gregorio,9,1,0,4,2,6.93
Real Madrid,Andriy Lunin,8,0,0,4,2,7.4
AS Monaco,Radoslaw Majecki,8,0,0,7,0,6.9
Basel,Marvin Keller,8,0,0,5,0,6.6
Krasnodar,Matvey Safonov,7,0,0,5,1,7.1
Dinamo Zagreb,Danijel Zagorac,7,1,0,5,1,7
Manchester City,Ederson,7,0,0,5,3,6.63
Red Star Belgrade,Marko Ilić,7,0,0,5,1,5.95
Barcelona,Marc-André ter Stegen,7,4,0,5,4,8.3
Paris Saint-Germain,Gianluigi Donnarumma,6,0,0,5,4,6.57
Slavia Prague,Matěj Kovář,4,1,0,2,0,7
Modena,Marco Carnesecchi,4,4,0,1,4,6.84
Bayern Munich,Manuel Neuer,4,2,0,2,7,6.72
Maccabi Haifa,Omri Glazer,4,0,0,4,0,6.5
Young Boys,Lorenzo Torriani,3,0,0,3,0,7
Liverpool,Alisson,3,1,0,3,1,6.85
PSV Eindhoven,Joël Drommel,3,0,0,3,0,6.7
Barcelona,Iñaki Peña,3,2,0,2,3,6.65
Borussia Dortmund,Alexander Meyer,1,1,0,0,0,7.1
Manchester City,Stefan Ortega,1,2,0,1,0,6.95
Lokomotiv Moscow,Daniil Khudyakov,1,1,0,1,0,6.8
Bayern Munich,Sven Ulreich,1,0,0,1,1,6.4
Celtic,Ivan Gudeša,1,0,0,1,0,6.4
Red Bull Salzburg,Philipp Köhn,1,0,0,1,1,6.4
